Id,clave_unica,Happy,Engage,WearingGlasses,LeftEyeClosed,RightEyeClosed,MouthOpen,MouthMoved,LookingAway,Fecha,nombrePC,Resource_Id,No_Usuarios
161,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:10",MCC-05,NULL,5
162,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:11",MCC-05,NULL,5
163,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:11",MCC-05,NULL,5
164,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:12",MCC-05,NULL,5
165,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:12",MCC-05,NULL,5
166,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:13",MCC-05,NULL,5
167,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:13",MCC-05,NULL,5
168,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:14",MCC-05,NULL,5
169,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:14",MCC-05,NULL,5
170,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,No,No,No,No,No,No,"2015-12-16 12:27:14",MCC-05,NULL,5
171,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:15",MCC-05,NULL,5
172,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:15",MCC-05,NULL,5
173,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:15",MCC-05,NULL,5
174,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:15",MCC-05,NULL,5
175,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:16",MCC-05,NULL,5
176,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:16",MCC-05,NULL,5
177,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:16",MCC-05,NULL,5
178,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:17",MCC-05,NULL,4
179,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,No,Maybe,Yes,No,Yes,Yes,Yes,"2015-12-16 12:27:17",MCC-05,NULL,5
180,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:17",MCC-05,NULL,5
181,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:18",MCC-05,NULL,5
